Sample	posterior	likelihood	prior	pop0.theta	pop1.theta	pop12.theta	TreeHeightLogger	freqParameter.A	freqParameter.C	freqParameter.G	freqParameter.T	rate.AC	rate.AG	rate.AT	rate.CG	rate.GT	mutationRate
0	-233696.8755	-233476.0008	-220.8746635	0.2	0.2	0.2	0.521816349	0.25	0.25	0.25	0.25	1	1	1	1	1	1
1000	-214848.6051	-214826.42	-22.18512178	0.212347869	0.058372286	0.063155414	0.005513856	0.251449987	0.240545381	0.258004632	0.25	0.759009064	1.636599187	0.494338805	0.846544251	0.782050586	1
2000	-214848.1234	-214827.0998	-21.02354727	0.22717205	0.056433805	0.062066795	0.005418369	0.266128299	0.250094846	0.239879234	0.243897622	0.526606143	2.361811316	1.194241621	0.146571343	2.335939011	1
3000	-214844.1184	-214826.1229	-17.99547166	0.228164808	0.058578894	0.061697938	0.005680414	0.272962242	0.227542634	0.250206507	0.249288617	0.526606143	1.028757782	1.027564773	0.683633702	1.058781544	1
4000	-214847.8605	-214828.7512	-19.10933217	0.218090287	0.061416863	0.06392389	0.005707494	0.263461424	0.232035289	0.254306247	0.25019704	1.381150914	0.80798729	2.369273949	3.181057122	1.544279774	1
5000	-214844.0144	-214826.7636	-17.25079234	0.221159257	0.058530551	0.060024549	0.005618226	0.273257411	0.222239302	0.254306247	0.25019704	1.343234601	2.559610544	3.721302139	1.746262609	2.068543088	1
6000	-214847.692	-214827.7254	-19.96662421	0.224033387	0.061018401	0.059061761	0.005970457	0.273257411	0.222239302	0.254306247	0.25019704	2.973335495	1.823586499	1.768692189	2.900431956	1.079056624	1
7000	-214844.9738	-214827.1559	-17.81788758	0.205583053	0.057837677	0.060437533	0.005644813	0.270590709	0.22842273	0.259272593	0.241713967	4.604939679	3.819267805	1.144772939	0.98702876	1.31921849	1
8000	-214847.6654	-214829.4069	-18.25855655	0.225205473	0.060955035	0.063746528	0.005516887	0.286664113	0.217803437	0.230525049	0.265007401	3.578869576	1.328232285	1.275964879	0.743718611	0.590904586	1
9000	-214845.4501	-214826.2518	-19.19832622	0.212332851	0.057481359	0.06267086	0.005480069	0.264087806	0.217803437	0.223271533	0.294837224	0.694527097	0.838177784	1.818318561	1.292238881	0.559158396	1
10000	-214846.9584	-214826.3978	-20.56061477	0.215919379	0.057288115	0.062605327	0.005697019	0.265359117	0.1897084	0.293117024	0.251815459	0.283151166	0.920106758	1.452866291	1.156571686	1.166190884	1
11000	-214845.5726	-214827.7992	-17.77338225	0.226095519	0.062201637	0.062182021	0.005808661	0.265359117	0.196921509	0.293117024	0.244602349	0.146900624	0.778112715	0.705829574	2.018842762	0.448351334	1
12000	-214847.7396	-214828.577	-19.16262253	0.198779845	0.055812095	0.063261235	0.005515334	0.262918512	0.213967713	0.253591597	0.269522178	0.059729776	0.432476325	0.435176593	1.319835496	1.435992694	1
13000	-214850.1594	-214831.7465	-18.41287607	0.223203568	0.061781666	0.064381348	0.005476534	0.256563574	0.200344084	0.273570164	0.269522178	0.115420128	1.859164194	0.313171375	1.319835496	1.435992694	1
